Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²)
Mexico,North,2015,Lake,6.06,7.12,3.93,4.28,8.28,7.89,3344,Filtration,33.6,472,33,44,76.16,57057,96.92,84.61,63.23,2800,4.94,593
Brazil,West,2017,Well,5.24,7.84,4.79,3.86,15.74,14.68,2122,Boiling,89.54,122,27,8,77.3,17220,84.73,73.37,29.12,1572,16.93,234
Indonesia,Central,2022,Pond,0.24,6.43,0.79,3.42,36.67,9.96,2330,None,35.29,274,39,50,48.45,86022,58.37,72.86,93.56,2074,21.73,57
Nigeria,East,2016,Well,7.91,6.71,1.96,3.12,36.92,6.77,3779,Boiling,57.53,3,33,13,95.66,31166,39.07,71.07,94.25,937,3.79,555
Mexico,South,2005,Well,0.12,8.16,4.22,9.15,49.35,12.51,4182,Filtration,36.6,466,31,68,58.78,25661,23.03,55.55,69.23,2295,31.44,414
Ethiopia,West,2013,Tap,2.93,8.21,4.03,8.66,31.35,16.74,880,None,69.48,258,22,55,70.13,84334,53.45,86.11,51.11,2530,8.01,775
China,East,2022,River,0.06,6.11,3.12,6.97,44.98,1.23,2977,Boiling,55.43,208,23,90,92.59,6726,34.56,76.53,68.6,1573,22.42,584
Mexico,Central,2024,Spring,3.76,6.42,1.35,9.99,2.73,19.44,1172,None,44.17,397,0,10,67.3,76593,7.27,45.22,70.22,940,19.64,111
Indonesia,North,2014,Well,0.63,6.29,1.42,9.67,28.31,1.93,159,None,71.66,265,23,29,44.32,5470,47.62,69.4,69.77,2150,36.23,538
Nigeria,Central,2013,Well,9.14,6.45,0.62,7.59,45.99,10.23,2493,Chlorination,55.44,261,2,38,4.43,72858,57.11,89.85,78.67,2083,35.73,250
Brazil,South,2023,Well,4.16,8.43,4.61,6.25,14.36,11.2,2129,Boiling,41.68,286,16,97,73.37,51303,61.13,79.68,25.37,1144,9.54,299
Indonesia,West,2021,River,4.59,7.38,0.86,4.07,7.74,2.76,3078,Chlorination,79.01,30,6,23,96.56,50972,7.38,10.1,28.2,1927,21.54,265
Indonesia,West,2002,Pond,3.5,7.17,2.86,6.61,17.53,18.31,2229,Chlorination,88.58,175,9,79,48.08,35058,48.31,69.03,42.62,1535,39.42,956
China,South,2023,Lake,6.28,8.46,2.92,4.1,39.61,9.43,2917,Boiling,49.16,8,18,57,35.3,68917,65.59,81.83,47.98,2829,13.27,370
Bangladesh,East,2022,Tap,7.84,7.39,1.85,5.79,4.24,2.86,3013,Boiling,43.05,203,23,29,52.89,50606,96.11,36.22,71.04,1184,2.95,76
Nigeria,East,2018,River,6.48,7.65,1.76,9.6,30.02,14.23,1549,Chlorination,35.27,107,8,23,73.39,6043,2.5,88.2,33.75,1756,28.72,289
India,West,2024,Pond,7.48,6.83,3.34,5.39,6.78,13.27,4573,None,66.95,123,49,66,2.07,7630,67.63,42.1,63.28,2051,20.13,415
